NOMBRE,PROVINCIA,LOCALIDAD,DIRECCION,TELEFONO
itv,"A Coruña ","Arteixo ","P. I. Sabón, parcela 69  ","+34 981 602 720 "
itv,"A Coruña ","Cacheritas-Teo ","Ctra. Santiago a Estrada, Km. 6 ","+34 981 806 009 "
itv,"A Coruña ","Espiritu Santo-Sada ","Ctra. A-6 km 582  ","+34 981 611 661 "
"Tuv Internacional Grupo Tuv Rheinland","A Coruña ","Ferrol ","Calle Alvaro Cunqueiro 1 ","+34 981 350 711 "
itv,"A Coruña ","Narón ","P.I. La Gándara; Av. Del Mar, 106  ","+34 981 315 051 "
"Inspección Técnica de Vehículos","A Coruña ","Ribeira ","Carretera 550 ","+34 981 872 400 "
itv,"A Coruña ","Santiago ","P.I.Tambre; C/ Vía de Cierva  ","+34 981 571 100 "
itv,"Lugo ","Foz ","C/ Chelas. ","+34 982 135 507 "
itv,"Lugo ","Lugo ","P.I. O'Ceao; Rua Comunicaciones, P. 98 B.  ","+34 982 209 037 "
itv,"Lugo ","Montforte de lemos ","C/ Morín, s/n.  ","+34 982 410 412 "
"Inspección Tecnica de Vehículos de Viveiro","Lugo ","Viveiro ","Barrio Xunqueira S/N ","+34 982 550 483 "
"Inspección Técnica de Vehiculos","Asturias ","Avilés ","Travesia Industria De La 53 ","+34 985 520 228 "
"Itv Inspeccion Tecnica Vehiculos Cangas del Narcea","Asturias ","Cangas del Narcea ","Avenida Alejandro Casona S/N ","+34 985 810 605 "
"Inspección Técnica de Vehículos","Asturias ","El entrego ","Poligono Ind. La Central S/N ","+34 985 661 100 "
"Itv Gijón","Asturias ","Gijón ","Camino Melon Del S/N ","+34 985 300 103 "
itv,"Asturias ","Jarrio ","P. I. Río Pinto ","+34 985 473 383 "
itv,"Asturias ","Llanera ","Ctra. N-630; C/ Pruvia de Abajo, 89 ","+34 985 263 317 "
"Itv de Ribadesella","Asturias ","Llovio-Ribadesella ","Poligono de Guadamia S/N ","+34 985 860 004 "
itv,"Asturias ","Mieres ","P. I. Fábrica de Mieres  ","+34 985 451 815 "
itv,"Pontevedra ","Barro ","Ctra. Villagarcía, Km. 7,5  ","+34 986 713 360 "
itv,"Pontevedra ","Lalín ","Parque Empresarial Lalín 2000, parcela B 52  ","+34 986 794 103 "
"Itv Inspección Técnica de Vehículos Porriño","Pontevedra ","O Porriño ","Barrio Gandaras S/N ","+34 986 333 992 "
itv,"Pontevedra ","Pontebora ","Ctra. N-541 km 88,7.  ","+34 986 865 020 "
itv,"Pontevedra ","Vigo- Peinador ","Av. Aeropuerto, 770  ","+34 986 486 936 "
itv,"Pontevedra ","Villagarcía de Arousa ","P.I. Travanca Badiña; Rua Patiño, 27-31  ","+34 986 501 024 "
itv,"Ourense ","O Barco ","Av. Do Sil, 35  ","+34 988 325 155 "
itv,"Ourense ","Ourense ","Parque Empresarial Pereiro de Aguiar  ","+34 988 249 712 "
itv,"Ourense ","Verin ","P.I. Pazos, parcela A 6 ","+34 988 411 539 "
"ITV Xinzo de Limia ","Ourense ","Xinzo de Limia ","Polígono Industrial de Xinzo de Limia  ","+34 881 920 492 "
